Cycle	Main Loop	Fetch	Flow	Points
0	0.129295	0.0167753	0.112413	250
1	0.144198	0.0181483	0.125969	250
2	0.14791	0.0185748	0.129314	250
3	0.153897	0.01805	0.135826	250
4	0.146016	0.0184244	0.12757	250
5	0.157372	0.0180351	0.139316	250
6	0.158511	0.0187842	0.139702	250
7	0.146663	0.0186573	0.127985	250
8	0.150739	0.0182624	0.132451	250
9	0.147654	0.018053	0.129561	250
10	0.145851	0.0179315	0.127894	250
11	0.171269	0.0181344	0.153112	250
12	0.150181	0.0181294	0.132024	250
13	0.148106	0.0198842	0.1282	250
14	0.144	0.0180051	0.125969	250
15	0.144177	0.0184281	0.125727	250
16	0.14632	0.0179796	0.128315	250
17	0.146098	0.0185516	0.127525	250
18	0.145588	0.018	0.127563	250
19	0.153536	0.0181578	0.135357	250
20	0.146412	0.0180155	0.128372	250
21	0.145938	0.0200941	0.125822	250
22	0.148504	0.0185571	0.12992	250
23	0.152241	0.0181212	0.134099	250
24	0.147367	0.018375	0.128966	250
25	0.142458	0.0182157	0.124221	250
26	0.14639	0.0190984	0.127174	250
27	0.150541	0.0182162	0.132304	250
28	0.150935	0.0179836	0.132924	250
29	0.146795	0.0181569	0.128617	250
30	0.14607	0.0196275	0.126417	250
31	0.157991	0.018441	0.139529	250
32	0.158834	0.0185375	0.140271	250
33	0.149875	0.0180598	0.131794	250
34	0.144651	0.017855	0.12677	250
35	0.142228	0.018134	0.124073	250
36	0.147064	0.0178846	0.129153	250
37	0.149721	0.017945	0.131754	250
38	0.143278	0.0181504	0.125102	250
39	0.150573	0.018665	0.131887	250
40	0.146724	0.0181088	0.12859	250
41	0.146329	0.0184032	0.127905	250
42	0.148212	0.0182286	0.129959	250
43	0.147035	0.0185493	0.128464	250
44	0.145758	0.0182798	0.127453	250
45	0.154117	0.0179832	0.136112	250
46	0.148838	0.0180705	0.130743	250
47	0.149218	0.018014	0.131183	250
48	0.143829	0.0182882	0.125515	250
49	0.150431	0.0181291	0.132281	250
50	0.145123	0.0177802	0.127318	250
51	0.145168	0.0182798	0.126867	250
52	0.15265	0.0187714	0.133853	250
53	0.147668	0.0182521	0.129394	250
54	0.145371	0.0187248	0.12662	250
55	0.145082	0.0183854	0.126675	250
56	0.146399	0.018156	0.128218	250
57	0.148038	0.020265	0.127751	250
58	0.143881	0.0182563	0.125599	250
59	0.144076	0.0187647	0.12529	250
60	0.144096	0.0178687	0.126201	250
61	0.146419	0.0182021	0.128196	250
62	0.142983	0.0185329	0.124424	250
63	0.143679	0.0181017	0.125556	250
64	0.144381	0.0201277	0.124226	250
65	0.143853	0.0184603	0.125371	250
66	0.144735	0.0179995	0.126711	250
67	0.145943	0.0183691	0.127553	250
68	0.152221	0.0183722	0.133822	250
69	0.15353	0.018235	0.135274	250
70	0.147255	0.0177485	0.129481	250
71	0.146411	0.0183012	0.128088	250
72	0.148575	0.0185132	0.130037	250
73	0.146212	0.01813	0.128061	250
74	0.148468	0.018529	0.129913	250
75	0.146157	0.0181611	0.127975	250
76	0.142753	0.0181464	0.124581	250
77	0.145051	0.0185286	0.126502	250
78	0.140966	0.0181244	0.122729	250
79	0.15169	0.0182193	0.13345	250
80	0.148753	0.0184022	0.130325	250
81	0.150113	0.0195671	0.130525	250
82	0.146411	0.0182303	0.128155	250
83	0.156298	0.0181323	0.138144	250
84	0.147742	0.0181564	0.129561	250
85	0.160965	0.018559	0.142385	250
86	0.144767	0.0180099	0.126732	250
87	0.167669	0.018332	0.149317	250
88	0.162574	0.0185329	0.144014	250
89	0.146193	0.0184616	0.12771	250
90	0.157175	0.0182187	0.138931	250
91	0.15979	0.0186742	0.141095	250
92	0.157496	0.0185987	0.138873	250
93	0.152701	0.0182947	0.134385	250
94	0.167387	0.0199731	0.147387	250
95	0.166994	0.018095	0.148877	250
96	0.159629	0.0195155	0.140087	250
97	0.160112	0.0202583	0.139832	250
98	0.145673	0.0186507	0.126996	250
99	0.145118	0.0179745	0.127122	250
Camera closed.
