Cycle	Main Loop	Fetch	Flow	Points
0	0.0547658	0.0176886	0.0369399	50
1	0.0558359	0.0160708	0.0396952	50
2	0.0567225	0.0156105	0.0410964	50
3	0.0535831	0.0155529	0.0380144	50
4	0.0558194	0.01565	0.0401536	50
5	0.0565117	0.018501	0.0379959	50
6	0.0543967	0.0155103	0.0388665	50
7	0.0567958	0.0157077	0.041069	50
8	0.0581966	0.0177496	0.040432	50
9	0.0543465	0.0171429	0.0371876	50
10	0.0547892	0.0154162	0.039357	50
11	0.0573969	0.0173675	0.040014	50
12	0.0533621	0.0158026	0.0375436	50
13	0.0551491	0.0168815	0.0382522	50
14	0.0551887	0.0167364	0.038437	50
15	0.0524492	0.0154714	0.0369623	50
16	0.0521873	0.0154272	0.0367443	50
17	0.0541475	0.0166804	0.0374483	50
18	0.0522269	0.0157607	0.0364501	50
19	0.0524233	0.0160066	0.0364012	50
20	0.057076	0.0168807	0.04018	50
21	0.054781	0.0182663	0.036496	50
22	0.05586	0.0177815	0.0380631	50
23	0.0572645	0.0181229	0.0391267	50
24	0.0570592	0.0184224	0.038622	50
25	0.0557292	0.0178991	0.0378152	50
26	0.0568013	0.0189262	0.037859	50
27	0.0568155	0.0182095	0.038591	50
28	0.0523758	0.0154445	0.0369132	50
29	0.0570791	0.016143	0.0409183	50
30	0.0523901	0.0153738	0.0370009	50
31	0.0541402	0.0159482	0.0381766	50
32	0.0582877	0.0188484	0.0394233	50
33	0.0556705	0.0180155	0.0376404	50
34	0.0531109	0.0155012	0.0375906	50
35	0.0526467	0.0153691	0.0372621	50
36	0.0541986	0.0154674	0.0387162	50
37	0.0564313	0.0173499	0.0390662	50
38	0.054765	0.0155464	0.039199	50
39	0.0535023	0.0159074	0.037576	50
40	0.0557551	0.0178804	0.0378596	50
41	0.053135	0.0161566	0.036963	50
42	0.0523478	0.0155491	0.0367797	50
43	0.0540077	0.0155167	0.0384746	50
44	0.0528895	0.0161206	0.036754	50
45	0.0545405	0.0168295	0.037696	50
46	0.0546508	0.0180766	0.0365579	50
47	0.0525518	0.0155969	0.0369389	50
48	0.0550531	0.0177941	0.0372435	50
49	0.0524796	0.0156283	0.0368364	50
50	0.052371	0.0154591	0.0368923	50
51	0.0530889	0.0156789	0.0373937	50
52	0.0522668	0.0154843	0.036767	50
53	0.0532314	0.0164178	0.0367981	50
54	0.0537461	0.0156528	0.0380781	50
55	0.0518303	0.0154705	0.0363405	50
56	0.0583827	0.0178329	0.0405343	50
57	0.0579554	0.0181255	0.0398144	50
58	0.0557477	0.016485	0.0392443	50
59	0.0546237	0.0162663	0.0383428	50
60	0.0525783	0.0155425	0.0370156	50
61	0.0526238	0.0154398	0.0371653	50
62	0.0524543	0.0154953	0.0369426	50
63	0.0521048	0.0156197	0.0364703	50
64	0.0521143	0.0156179	0.0364814	50
65	0.0537517	0.0156471	0.0380905	50
66	0.0551218	0.0163517	0.0387519	50
67	0.052692	0.015645	0.0369168	50
68	0.052446	0.0154853	0.036945	50
69	0.053932	0.0168923	0.0370242	50
70	0.0532353	0.0161145	0.0371052	50
71	0.053329	0.0166526	0.0366579	50
72	0.0526183	0.0155035	0.0370994	50
73	0.0532959	0.015432	0.0378499	50
74	0.0550685	0.0181369	0.0369135	50
75	0.0522384	0.0156344	0.036589	50
76	0.0559611	0.0176202	0.0382163	50
77	0.0537039	0.0168298	0.036858	50
78	0.0524917	0.0155005	0.036977	50
79	0.0604636	0.0180546	0.0423945	50
80	0.0559592	0.0177591	0.0381842	50
81	0.0536239	0.0160802	0.0375292	50
82	0.0544898	0.0157485	0.038726	50
83	0.054331	0.0159678	0.0383429	50
84	0.0530126	0.0155554	0.0374415	50
85	0.0571956	0.0173534	0.0398266	50
86	0.0538205	0.0165508	0.0372508	50
87	0.0543287	0.0160592	0.0382547	50
88	0.0564305	0.018468	0.0379479	50
89	0.0535764	0.0161282	0.037433	50
90	0.0543119	0.0160292	0.0382674	50
91	0.0554994	0.0181197	0.037365	50
92	0.0538385	0.0168135	0.0370095	50
93	0.0520479	0.0154477	0.0365853	50
94	0.0539268	0.0154698	0.0384415	50
95	0.0525277	0.0157343	0.0367782	50
96	0.0548643	0.017531	0.0373175	50
97	0.0526779	0.0157033	0.036959	50
98	0.0548034	0.0164147	0.0383735	50
99	0.0557158	0.018726	0.0369749	50
Camera closed.
