Name	frame_num	pts_tracked	loop_time	track_time
Harris	0	30	9.73769	9.7244
Harris	1	30	17.8691	17.8627
Harris	2	29	16.3646	16.3584
Harris	3	28	28.7191	28.7129
Harris	4	25	13.8336	13.8278
Harris	5	23	12.5294	12.5238
Harris	6	23	11.6186	11.6126
Harris	7	23	11.9732	11.9669
Harris	8	23	12.0945	12.0881
Harris	9	23	12.3664	12.3599
Harris	10	23	13.4017	13.3951
Harris	11	23	16.9542	16.9476
Harris	12	23	12.1901	12.183
Harris	13	23	15.0394	15.0331
Harris	14	23	16.9062	16.9001
Harris	15	23	12.0801	12.0734
Harris	16	23	12.0154	12.0088
Harris	17	23	13.1953	13.1896
Harris	18	23	15.4465	15.4396
Harris	19	23	13.2199	13.213
Harris	20	23	11.8878	11.8817
Harris	21	23	11.461	11.4538
Harris	22	23	12.071	12.065
Harris	23	23	11.6903	11.6839
Harris	24	23	11.7491	11.743
Harris	25	23	12.5309	12.5243
Harris	26	23	12.2238	12.2172
Harris	27	23	11.779	11.7727
Harris	28	23	12.2201	12.2142
Harris	29	23	12.0516	12.0446
Harris	30	23	12.9521	12.9463
Harris	31	23	12.628	12.6216
Harris	32	23	19.0077	19.001
Harris	33	20	13.5287	13.5224
Harris	34	18	9.7581	9.75235
Harris	35	17	9.54561	9.5399
Harris	36	17	11.8971	11.8908
Harris	37	16	12.7975	12.791
Harris	38	16	14.1907	14.1838
Harris	39	13	13.1335	13.1274
Harris	40	11	8.93482	8.92873
Harris	41	9	7.58949	7.58291
Harris	42	8	6.78396	6.77746
Harris	43	8	7.68253	7.6767
Harris	44	8	6.1955	6.18925
Harris	45	8	6.2135	6.20746
Harris	46	8	6.19684	6.1905
Harris	47	8	6.27942	6.27317
Harris	48	8	6.33663	6.33079
Harris	49	8	6.48971	6.48379
Harris	50	8	6.04338	6.0375
Harris	51	8	6.56333	6.55725
Harris	52	8	6.43608	6.43075
Harris	53	8	6.55462	6.54862
Harris	54	8	6.18179	6.176
Harris	55	8	8.23061	8.22474
Harris	56	8	6.49658	6.49079
Harris	57	8	6.22979	6.22317
Harris	58	8	6.07317	6.06767
Harris	59	8	6.33325	6.32713
Harris	60	8	6.4235	6.41737
Harris	61	8	6.54713	6.53937
Harris	62	8	6.56083	6.55438
Harris	63	8	7.19941	7.1907
Harris	64	8	8.69444	8.68357
Harris	65	8	8.61711	8.61103
Harris	66	8	6.95433	6.94475
Harris	67	8	6.43929	6.43379
