Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Harris	0	30	0	10.2339	10.2194	0.005916
Harris	1	30	0	18.4996	18.4919	0.003458
Harris	2	29	1	34.7857	17.8455	16.9337
Harris	3	29	1	47.6975	30.504	17.1881
Harris	4	27	3	36.9482	14.8842	22.0565
Harris	5	28	2	31.6154	14.6467	16.9636
Harris	6	29	1	36.7819	14.4982	22.2776
Harris	7	30	0	15.7081	15.697	0.005416
Harris	8	30	0	15.0004	14.9932	0.003542
Harris	9	30	0	16.2237	16.2119	0.005958
Harris	10	30	0	17.7291	17.7178	0.005542
Harris	11	30	0	20.8537	20.8459	0.003375
Harris	12	30	0	16.9473	16.936	0.0055
Harris	13	30	0	19.3393	19.33	0.003959
Harris	14	30	0	21.2343	21.2259	0.003791
Harris	15	30	0	16.7308	16.7211	0.0035
Harris	16	30	0	15.0704	15.063	0.003375
Harris	17	30	0	16.5483	16.5406	0.003041
Harris	18	30	0	22.0576	22.0463	0.004292
Harris	19	30	0	16.1164	16.1085	0.003583
Harris	20	30	0	15.1482	15.1406	0.003625
Harris	21	30	0	15.5774	15.5659	0.005667
Harris	22	30	0	16.9004	16.8923	0.003542
Harris	23	30	0	14.9199	14.9126	0.003375
Harris	24	30	0	14.9159	14.9085	0.003417
Harris	25	30	0	17.285	17.2757	0.004459
Harris	26	30	0	16.4148	16.406	0.003958
Harris	27	30	0	14.9574	14.9495	0.00375
Harris	28	30	0	15.2352	15.227	0.003334
Harris	29	30	0	15.2213	15.2129	0.003375
Harris	30	30	0	18.3879	18.3748	0.007125
Harris	31	30	0	16.5101	16.5008	0.004084
Harris	32	30	0	22.8871	22.8794	0.003167
Harris	33	27	3	42.366	21.5232	20.8337
Harris	34	27	3	31.2175	14.0309	17.1814
Harris	35	28	2	35.088	15.4406	19.6403
Harris	36	29	1	37.2083	19.8609	17.3413
Harris	37	27	3	41.2487	21.4252	19.8171
Harris	38	28	2	42.873	25.6116	17.2547
Harris	39	25	5	44.9979	22.0627	22.9296
Harris	40	25	5	34.3662	16.8853	17.4727
Harris	41	26	4	31.7182	14.3554	17.3572
Harris	42	27	3	36.02	16.6096	19.403
Harris	43	29	1	37.6539	20.4011	17.2464
Harris	44	30	0	14.7866	14.7771	0.004833
Harris	45	30	0	14.463	14.4537	0.005041
Harris	46	30	0	15.0897	15.0807	0.003541
Harris	47	30	0	14.7255	14.7165	0.00375
Harris	48	30	0	14.9209	14.9133	0.003666
Harris	49	30	0	15.0942	15.0858	0.004458
Harris	50	30	0	15.392	15.3807	0.005375
Harris	51	30	0	15.0104	15.0028	0.003416
Harris	52	30	0	15.2202	15.2116	0.004084
Harris	53	30	0	16.5115	16.4998	0.005917
Harris	54	30	0	15.749	15.7369	0.005917
Harris	55	30	0	21.1379	21.1305	0.003041
Harris	56	29	1	33.1548	15.7831	17.3662
Harris	57	30	0	16.594	16.5807	0.005958
Harris	58	30	0	14.5053	14.4974	0.002958
Harris	59	30	0	14.7849	14.7767	0.003791
Harris	60	30	0	15.5747	15.5656	0.00475
Harris	61	30	0	15.4123	15.4044	0.003542
Harris	62	30	0	17.1232	17.1118	0.005625
Harris	63	30	0	18.1785	18.1681	0.004583
Harris	64	30	0	18.439	18.4292	0.005584
Harris	65	30	0	22.5281	22.5179	0.005083
Harris	66	30	0	16.9673	16.9583	0.003292
Harris	67	30	0	15.9674	15.9604	0.003084
Harris	68	30	0	15.5807	15.5729	0.003417
Harris	69	30	0	16.1888	16.1791	0.003917
Harris	70	30	0	15.4139	15.4061	0.003625
Harris	71	30	0	14.8775	14.87	0.003459
Harris	72	30	0	15.8305	15.8194	0.00575
Harris	73	30	0	16.9577	16.9482	0.003542
Harris	74	30	0	15.1492	15.141	0.003125
Harris	75	30	0	15.1907	15.1824	0.003292
Harris	76	30	0	14.8649	14.856	0.003583
Harris	77	30	0	18.6241	18.6123	0.005458
Harris	78	29	1	32.4465	16.121	16.3189
Harris	79	30	0	15.9804	15.9716	0.00475
Harris	80	30	0	17.8699	17.8575	0.007
Harris	81	30	0	16.9911	16.9792	0.0055
Harris	82	30	0	16.8295	16.819	0.006042
Harris	83	29	1	32.6589	16.4286	16.2249
Harris	84	30	0	18.4442	18.431	0.006334
Harris	85	30	0	15.8343	15.8221	0.005791
