Name	frame_num	pts_tracked	pts_added	loop_time	track_time	mgmt_time
Harris	0	50	0	29.2993	29.2832	0.0065
Harris	1	50	0	42.447	42.4383	0.003833
Harris	2	50	0	38.8254	38.8161	0.004666
Harris	3	50	0	38.9528	38.9416	0.006042
Harris	4	50	0	38.9084	38.9001	0.004
Harris	5	50	0	39.8808	39.8669	0.007875
Harris	6	50	0	39.5829	39.5742	0.004292
Harris	7	50	0	43.068	43.0584	0.004958
Harris	8	50	0	41.0946	41.0793	0.009542
Harris	9	50	0	40.3259	40.3173	0.003875
Harris	10	50	0	41.5202	41.5111	0.004708
Harris	11	50	0	40.2504	40.241	0.004333
Harris	12	50	0	41.6891	41.6801	0.00425
Harris	13	50	0	42.7061	42.6932	0.006542
Harris	14	50	0	39.9282	39.9199	0.003833
Harris	15	50	0	38.84	38.831	0.003875
Harris	16	50	0	41.1681	41.159	0.004834
Harris	17	50	0	39.9486	39.9404	0.003416
Harris	18	50	0	41.2964	41.2858	0.004209
Harris	19	50	0	43.9115	43.9012	0.004167
Harris	20	50	0	42.9356	42.9237	0.006666
Harris	21	50	0	39.8461	39.8339	0.007042
Harris	22	50	0	39.7567	39.7472	0.004
Harris	23	50	0	39.0264	39.0172	0.003875
Harris	24	50	0	39.422	39.4116	0.005125
Harris	25	50	0	39.5892	39.5785	0.005042
Harris	26	50	0	43.1283	43.1182	0.004708
Harris	27	50	0	40.2818	40.2703	0.006333
Harris	28	50	0	38.7169	38.7077	0.004833
Harris	29	50	0	37.5145	37.5066	0.003833
Harris	30	50	0	38.0392	38.0285	0.0055
Harris	31	50	0	37.9409	37.9313	0.004583
Harris	32	50	0	37.6176	37.6082	0.004666
Harris	33	50	0	39.7848	39.7767	0.00375
Harris	34	50	0	38.9652	38.9534	0.005624
Harris	35	50	0	36.5969	36.5884	0.003416
Harris	36	50	0	38.6272	38.6179	0.004625
Harris	37	50	0	37.8566	37.8477	0.0035
Harris	38	50	0	39.0039	38.9955	0.003792
Harris	39	50	0	39.0181	39.0103	0.003458
Harris	40	50	0	38.4428	38.4343	0.004
Harris	41	50	0	40.2497	40.2405	0.004
Harris	42	50	0	41.7255	41.7117	0.007083
Harris	43	50	0	39.9646	39.9536	0.006
Harris	44	50	0	38.688	38.6799	0.004
Harris	45	50	0	38.3998	38.3919	0.003375
Harris	46	50	0	38.3716	38.3626	0.00375
Harris	47	50	0	39.2073	39.1984	0.004125
Harris	48	50	0	38.9691	38.9602	0.004333
Harris	49	50	0	39.2465	39.2378	0.003666
Harris	50	50	0	39.9091	39.8996	0.004084
Harris	51	50	0	39.6321	39.6228	0.003792
Harris	52	50	0	40.3893	40.3784	0.0045
Harris	53	50	0	41.8386	41.8301	0.003625
Harris	54	49	1	123.81	43.2401	80.5632
Harris	55	50	0	40.6645	40.6534	0.006375
Harris	56	50	0	39.8894	39.8807	0.00425
Harris	57	50	0	41.4136	41.3997	0.008167
Harris	58	49	1	130.43	42.1818	88.2407
Harris	59	50	0	43.8441	43.8348	0.004666
Harris	60	50	0	44.9229	44.9137	0.004334
Harris	61	50	0	44.9282	44.9202	0.003541
Harris	62	49	1	121.913	42.2429	79.664
Harris	63	50	0	42.4592	42.4485	0.005833
Harris	64	50	0	43.1602	43.1513	0.004709
Harris	65	48	2	125.934	46.6079	79.32
Harris	66	48	2	122.01	41.7883	80.2169
Harris	67	49	1	121.427	41.576	79.8448
Harris	68	50	0	44.0315	44.022	0.005042
Harris	69	50	0	48.4673	48.459	0.003833
Harris	70	50	0	46.0404	46.0312	0.004292
Harris	71	50	0	45.4702	45.4604	0.004083
Harris	72	49	1	121.323	42.9534	78.3635
Harris	73	49	1	120.449	41.3615	79.0819
Harris	74	50	0	42.0425	42.033	0.004708
Harris	75	50	0	42.0537	42.0452	0.004125
Harris	76	50	0	43.7642	43.7556	0.004333
Harris	77	49	1	121.823	42.7445	79.074
Harris	78	50	0	41.8308	41.8211	0.005125
Harris	79	50	0	42.9469	42.9375	0.004833
Harris	80	50	0	42.8865	42.8784	0.00425
Harris	81	50	0	43.7087	43.6991	0.004583
Harris	82	50	0	41.5186	41.5098	0.004333
Harris	83	50	0	45.2075	45.1986	0.00425
Harris	84	50	0	42.4754	42.4672	0.004
Harris	85	50	0	42.6958	42.6871	0.003833
Harris	86	50	0	43.5992	43.5914	0.00375
Harris	87	50	0	43.4592	43.4502	0.004416
Harris	88	50	0	42.7264	42.7169	0.005041
Harris	89	48	2	124.246	44.896	79.3436
Harris	90	49	1	121.527	41.4715	80.05
Harris	91	50	0	42.2078	42.1979	0.005042
Harris	92	50	0	42.8144	42.8056	0.004458
Harris	93	50	0	45.4044	45.3954	0.004
Harris	94	49	1	131.12	48.8017	82.3119
Harris	95	44	6	135.079	51.0767	83.9947
Harris	96	47	3	125.012	46.6366	78.3695
Harris	97	43	7	125.14	45.6637	79.4704
Harris	98	44	6	123.403	42.9348	80.4626
Harris	99	42	8	123.121	42.5308	80.5849
Harris	100	44	6	120.357	41.6963	78.6548
Harris	101	47	3	120.853	41.355	79.4921
Harris	102	48	2	123.225	42.4282	80.7907
Harris	103	46	4	122.889	42.3848	80.4984
Harris	104	48	2	121.168	42.8942	78.2677
Harris	105	49	1	121.102	41.4249	79.6715
Harris	106	49	1	125.428	44.9802	80.4409
Harris	107	48	2	121.868	41.7296	80.1326
Harris	108	48	2	120.75	42.3998	78.3438
Harris	109	49	1	120.706	41.4838	79.2166
