Number of cameras detected: 1
Camera opened successfully.
Trigger pin: 0
Cycle	Main Loop	Fetch	Flow	Points
0	0.0406151	4.708e-06	0.0405102	50
1	0.043723	1.917e-06	0.0436974	50
2	0.0451899	2e-06	0.0451633	50
3	0.0395944	1.666e-06	0.0395728	50
4	0.0413261	1.833e-06	0.0413054	50
5	0.0445618	1.75e-06	0.044535	50
6	0.0419348	1.792e-06	0.0419165	50
7	0.0397246	2.042e-06	0.0396975	50
8	0.0442775	1.75e-06	0.04417	50
9	0.0417405	1.708e-06	0.0417179	50
10	0.0418817	5.125e-06	0.041859	50
11	0.0435278	1.75e-06	0.0435055	50
12	0.0424033	1.75e-06	0.0422673	50
13	0.0404643	1.833e-06	0.0404445	50
14	0.0424281	6.792e-06	0.042404	50
15	0.0406346	1.625e-06	0.0406106	50
16	0.0423428	1.708e-06	0.0422085	50
17	0.0423652	1.958e-06	0.04234	50
18	0.0397255	5.209e-06	0.0396976	50
19	0.0380765	1.666e-06	0.0380508	50
20	0.0388028	1.875e-06	0.0387777	50
21	0.0420338	2.375e-06	0.0418952	50
22	0.039047	5.041e-06	0.0390229	50
23	0.0413867	4.958e-06	0.0413608	50
24	0.0377979	5.25e-06	0.0377694	50
25	0.0387699	1.834e-06	0.0387445	50
26	0.0429309	1.875e-06	0.0427971	50
27	0.0385948	2e-06	0.038571	50
28	0.0410937	5.417e-06	0.0410657	50
29	0.0377334	1.667e-06	0.0377069	50
30	0.0424808	1.75e-06	0.0423379	50
31	0.041827	1.917e-06	0.0418008	50
32	0.0390535	5.542e-06	0.0390245	50
33	0.0387526	1.75e-06	0.038665	50
34	0.0372281	1.541e-06	0.0372043	50
35	0.0381253	1.708e-06	0.0381015	50
36	0.046641	1.75e-06	0.046573	50
37	0.0397364	2.125e-06	0.0397142	50
38	0.0407829	1.958e-06	0.0407616	50
39	0.0403107	1.708e-06	0.0402095	50
40	0.0422989	2e-06	0.0422725	50
41	0.041249	5.042e-06	0.0412204	50
42	0.038573	1.542e-06	0.038549	50
43	0.037661	2e-06	0.0376362	50
44	0.0396356	1.792e-06	0.0394668	50
45	0.0432443	3.7125e-05	0.0431809	50
46	0.0394154	4.625e-06	0.0393898	50
