N_pts	H_pts	Harris_time	S_pts	Shi_time	F_pts	FAST_time
1	1	0.0131229	1	0.0138312	1	0.000165393
2	2	0.0131769	2	0.013444	2	0.000169605
3	3	0.0132646	3	0.013835	3	0.000252788
4	4	0.0131913	4	0.0133137	4	0.000194358
5	5	0.0146559	5	0.0139895	4	0.000199879
6	6	0.013357	6	0.0133511	6	0.000199053
7	7	0.0130447	7	0.0134789	6	0.000197496
8	8	0.013809	8	0.014042	8	0.00020076
9	9	0.0131313	9	0.0136826	9	0.000207937
10	10	0.0148492	10	0.0134711	9	0.000208033
11	11	0.0131153	11	0.0138736	11	0.000211631
12	12	0.0215714	12	0.0137883	12	0.00021515
13	13	0.0132095	13	0.0137904	12	0.000216433
14	14	0.0139216	14	0.014673	14	0.000218136
15	15	0.0132879	15	0.0146789	15	0.000221617
16	16	0.013357	16	0.0145602	16	0.000224647
17	17	0.0133044	17	0.0144097	17	0.000228815
18	18	0.01328	18	0.0138158	17	0.00022945
19	19	0.0142003	19	0.0139026	19	0.000231981
20	20	0.01335	20	0.0139394	19	0.000232242
21	21	0.0139687	21	0.0137398	19	0.000231953
22	22	0.0140717	22	0.0137606	22	0.000236526
23	23	0.0133097	23	0.0137326	22	0.000237964
24	24	0.0140576	24	0.0133662	24	0.000241406
25	25	0.013433	25	0.0133912	24	0.000242007
26	26	0.0133008	26	0.0139842	24	0.00024055
27	27	0.0132807	27	0.0138977	27	0.000249221
28	28	0.013312	28	0.0134859	27	0.000248825
29	29	0.0140207	29	0.0134158	29	0.000251686
30	30	0.0141535	30	0.0133976	29	0.000252403
31	31	0.0134015	31	0.013944	29	0.000253414
32	32	0.0132916	32	0.0134032	32	0.000261531
33	33	0.0132955	33	0.0134172	32	0.000261246
34	34	0.0140088	34	0.0133885	32	0.000260298
35	35	0.0135775	35	0.0140623	32	0.000260574
36	36	0.0131975	36	0.013423	36	0.000266667
37	37	0.0131715	37	0.0133766	36	0.000266978
38	38	0.0140854	38	0.0135006	38	0.000274766
39	39	0.0140177	39	0.0133506	38	0.000270997
40	40	0.0136395	40	0.0134252	38	0.000271251
41	41	0.0132573	41	0.0132992	38	0.000271038
42	42	0.0132979	42	0.013346	42	0.00027656
43	43	0.013232	43	0.0133699	42	0.000275682
44	44	0.0142526	44	0.0133744	42	0.000275667
45	45	0.0134453	45	0.0141596	42	0.00027572
46	46	0.0132269	46	0.0134327	42	0.000275971
47	47	0.0132207	47	0.0133961	42	0.000282586
48	48	0.0150271	48	0.0135479	42	0.000282934
49	49	0.0148108	49	0.0134449	49	0.000282013
50	50	0.014631	50	0.0136003	49	0.000282593
51	51	0.0149168	51	0.0133868	49	0.000282015
52	52	0.0147678	52	0.0134645	49	0.000282542
53	53	0.0145522	53	0.013416	49	0.000453928
54	54	0.0140494	54	0.0135305	49	0.000282336
55	55	0.014498	55	0.0135701	55	0.000291068
56	56	0.0150639	56	0.0135253	55	0.00028875
57	57	0.0146166	57	0.0133354	55	0.000297073
58	58	0.0145004	58	0.0134856	55	0.000288712
59	59	0.0146668	59	0.0135468	59	0.000293409
60	60	0.0144627	60	0.0136408	59	0.000293516
61	61	0.0144937	61	0.0140828	59	0.000296466
62	62	0.0144221	62	0.0134338	59	0.000293638
63	63	0.014179	63	0.0134148	59	0.000293958
64	64	0.0144168	64	0.013336	64	0.000299318
65	65	0.0143683	65	0.0134244	64	0.000299336
66	66	0.0148779	66	0.0134967	64	0.000489295
67	67	0.0151143	67	0.0143848	64	0.000346392
68	68	0.0144918	68	0.013961	64	0.000299811
69	69	0.0142032	69	0.0135369	64	0.000298765
70	70	0.0142687	70	0.0137948	70	0.000532446
71	71	0.0188831	71	0.0189685	70	0.000330285
72	72	0.014204	72	0.0135003	70	0.000312926
73	73	0.0155773	73	0.0145953	70	0.000328906
74	74	0.0142747	74	0.0185083	70	0.000304071
75	75	0.0154354	75	0.0134734	75	0.000310531
76	76	0.0158179	76	0.0141264	75	0.000309808
77	77	0.0143081	77	0.0136609	75	0.000397899
78	78	0.0143987	78	0.0133207	75	0.000310588
79	79	0.0144388	79	0.0133943	75	0.000310325
80	80	0.0144328	80	0.0137126	80	0.000316281
81	81	0.014428	81	0.0140042	80	0.000315337
82	82	0.0143785	82	0.0133949	80	0.000316072
83	83	0.0150064	83	0.0145312	80	0.000346447
84	84	0.0140799	84	0.0136548	80	0.000316
85	85	0.0134692	85	0.0134593	80	0.000316069
86	86	0.0140749	86	0.0133539	80	0.000316899
87	87	0.0148002	87	0.0145093	80	0.000342042
88	88	0.0146026	88	0.0134249	80	0.000316543
89	89	0.0143573	89	0.0133267	80	0.000342668
90	90	0.0137959	90	0.0135353	80	0.000316534
91	91	0.0144962	91	0.0135708	91	0.000322854
92	92	0.0147512	92	0.0135211	91	0.0003514
93	93	0.0143691	93	0.014667	91	0.000351681
94	94	0.0140883	94	0.0136135	91	0.000323015
95	95	0.0146273	95	0.0134766	91	0.000324255
96	96	0.013286	96	0.013438	91	0.000456538
97	97	0.0145151	97	0.0143996	91	0.000323733
98	98	0.0134449	98	0.0135959	91	0.000323357
99	99	0.0146572	99	0.0147298	99	0.000336406
100	100	0.0142464	100	0.0140987	99	0.000560326
101	101	0.0158785	101	0.0150447	99	0.00033612
102	102	0.0144725	102	0.0142102	99	0.000360529
103	103	0.0153338	103	0.0152518	99	0.000359165
104	104	0.0143658	104	0.0135751	99	0.000356264
105	105	0.0177638	105	0.0181394	99	0.000521223
106	106	0.0157455	106	0.0148391	99	0.000560049
107	107	0.0188442	107	0.0188359	99	0.00052091
108	108	0.0162719	108	0.0156508	108	0.000334827
109	109	0.0142912	109	0.0141215	108	0.000335574
110	110	0.0134502	110	0.0141816	110	0.000376077
111	111	0.0168249	111	0.0168255	110	0.000371779
112	112	0.0152761	112	0.0143673	110	0.000341592
113	113	0.0145436	113	0.0137982	110	0.000371794
114	114	0.0180072	114	0.0176849	110	0.000340458
115	115	0.0151205	115	0.0144325	110	0.000344032
116	116	0.0141711	116	0.0135949	110	0.000345202
117	117	0.0145873	117	0.0148629	117	0.000379433
118	118	0.0153462	118	0.014826	117	0.000350184
119	119	0.0143306	119	0.0135278	117	0.000385263
120	120	0.0146958	120	0.0142033	117	0.000379258
121	121	0.0140474	121	0.0141731	117	0.000348321
122	122	0.0150525	122	0.0137458	117	0.000349207
123	123	0.0160632	123	0.0143567	117	0.000385168
124	124	0.0146737	124	0.0143671	117	0.000352278
125	125	0.0144068	125	0.0137622	117	0.000379097
126	126	0.0160125	126	0.0146078	117	0.000348953
127	127	0.0144169	127	0.013652	117	0.000349012
128	128	0.0141612	128	0.0135395	117	0.000349001
129	129	0.0146318	129	0.013498	129	0.000385762
130	130	0.0140635	130	0.0134973	129	0.000382157
131	131	0.0141338	131	0.0142182	129	0.000356412
132	132	0.0152515	132	0.0136808	129	0.00035611
133	133	0.0143087	133	0.0136002	129	0.000355773
134	134	0.0142536	134	0.013701	129	0.000382186
135	135	0.0151889	135	0.0142383	135	0.000363512
136	136	0.0145894	136	0.0136786	135	0.000363082
137	137	0.0139552	137	0.0138659	135	0.000399375
138	138	0.0158596	138	0.0149947	135	0.00040001
139	139	0.0144419	139	0.0143418	135	0.0004059
140	140	0.014083	140	0.0144172	135	0.000362795
141	141	0.0138947	141	0.0136731	135	0.000364158
142	142	0.0147029	142	0.0144813	135	0.0003675
143	143	0.0143332	143	0.0141492	135	0.00036294
144	144	0.0151937	144	0.0145318	135	0.000389256
145	145	0.0152695	145	0.0145769	145	0.000371515
146	146	0.0141622	146	0.0141469	145	0.000376977
147	147	0.0147796	147	0.0145487	145	0.000408498
148	148	0.0154813	148	0.0151192	145	0.000402307
149	149	0.0151583	149	0.0148793	145	0.000372339
150	150	0.015707	150	0.0138856	145	0.000403948
151	151	0.0148497	151	0.0141089	145	0.00037174
152	152	0.0148598	152	0.0141172	145	0.000372557
153	153	0.0134814	153	0.0136591	145	0.000371887
154	154	0.013468	154	0.0143178	145	0.00037185
155	155	0.0141769	155	0.0144817	145	0.000403709
156	156	0.0142489	156	0.0134831	145	0.000371688
157	157	0.0149165	157	0.0143492	145	0.000371589
158	158	0.0150503	158	0.0142942	158	0.000382636
159	159	0.0148941	159	0.0143002	158	0.000410118
160	160	0.0144695	160	0.0138174	158	0.000379197
161	161	0.0142001	161	0.0137	158	0.00037942
162	162	0.0144164	162	0.0136264	158	0.000379043
163	163	0.0145513	163	0.0137639	158	0.000382472
164	164	0.014348	164	0.0136321	158	0.000380999
165	165	0.0149052	165	0.0141457	158	0.000379711
166	166	0.014226	166	0.0146218	158	0.00041052
167	167	0.0146557	167	0.0149024	158	0.000381036
168	168	0.0158673	168	0.0145588	158	0.00037917
169	169	0.0160221	169	0.0136721	169	0.000388376
170	170	0.014715	170	0.0135479	169	0.000389093
171	171	0.0146207	171	0.0135615	169	0.000386957
172	172	0.0143849	172	0.0134965	169	0.000388958
173	173	0.0140358	173	0.0142586	169	0.000388387
174	174	0.0142465	174	0.0136934	169	0.00044601
175	175	0.0133728	175	0.0135429	169	0.00039233
176	176	0.0145964	176	0.0136276	169	0.000387954
177	177	0.0143364	177	0.0136843	169	0.000528775
178	178	0.0151168	178	0.0136764	169	0.000389194
179	179	0.0144543	179	0.0136669	169	0.000388257
180	180	0.0143497	180	0.0135135	169	0.000387355
181	181	0.0146091	181	0.0135975	169	0.000388237
182	182	0.0143717	182	0.0136158	169	0.000422924
183	183	0.0143805	183	0.013578	169	0.000387668
184	184	0.0155974	184	0.0138694	169	0.000446795
185	185	0.0139413	185	0.013723	169	0.000462147
186	186	0.0140365	186	0.0144281	186	0.000398457
187	187	0.0155213	187	0.0150552	186	0.000399194
188	188	0.0144209	188	0.0137524	186	0.000396617
189	189	0.0136737	189	0.0141255	186	0.000396141
190	190	0.0136684	190	0.01408	186	0.000396731
191	191	0.0150717	191	0.0135507	186	0.000398454
192	192	0.0143277	192	0.0135261	186	0.000398517
193	193	0.0147882	193	0.0136428	186	0.000440941
194	194	0.0149972	194	0.0159678	186	0.000399794
195	195	0.0189864	195	0.0152533	186	0.000432136
196	196	0.0134704	196	0.0175069	196	0.000445195
197	197	0.0146307	197	0.0137119	196	0.000491581
198	198	0.015337	198	0.0147482	196	0.000407323
199	199	0.0161478	199	0.0152214	196	0.00040692
200	200	0.0146356	200	0.0141699	196	0.000405599
